hand to marker: 0.10
timestamp dist x y z rx ry rz
100.023 0.253 -0.0153 -0.0588 0.2454 0.3352 -0.5912 -2.1082 
100.055 0.251 -0.0153 -0.0587 0.2439 0.3261 -0.6056 -2.1051 
100.090 0.251 -0.0154 -0.0589 0.2435 0.3386 -0.5979 -2.1055 
100.122 0.251 -0.0155 -0.0588 0.2435 0.3335 -0.6004 -2.1055 
108.621 0.254 -0.0290 -0.0657 0.2434 0.3751 -0.5643 -2.0994 
108.653 0.254 -0.0290 -0.0661 0.2439 0.3796 -0.5536 -2.0939 
108.688 0.255 -0.0289 -0.0663 0.2442 0.3758 -0.5572 -2.0957 
108.720 0.255 -0.0288 -0.0665 0.2443 0.3762 -0.5619 -2.1001 
108.753 0.255 -0.0285 -0.0665 0.2442 0.3741 -0.5666 -2.0984 
116.086 0.276 -0.0267 -0.0559 0.2688 0.3780 -0.5032 -2.0954 
116.121 0.276 -0.0266 -0.0561 0.2685 0.3702 -0.5050 -2.0989 
116.152 0.275 -0.0263 -0.0561 0.2678 0.3882 -0.5067 -2.0905 
116.185 0.275 -0.0262 -0.0564 0.2684 0.3789 -0.4993 -2.0907 
116.219 0.275 -0.0260 -0.0562 0.2675 0.3713 -0.5194 -2.0894 
122.351 0.269 -0.0374 -0.0572 0.2605 0.4288 -0.4722 -1.9594 
122.384 0.268 -0.0376 -0.0571 0.2592 0.4246 -0.4773 -1.9556 
122.418 0.268 -0.0377 -0.0572 0.2593 0.4183 -0.4774 -1.9573 
122.454 0.266 -0.0376 -0.0568 0.2576 0.4108 -0.4893 -1.9585 
129.849 0.285 -0.0349 -0.0630 0.2761 0.3727 -0.4190 -1.9351 
129.883 0.285 -0.0349 -0.0631 0.2755 0.3646 -0.4269 -1.9356 
129.917 0.285 -0.0350 -0.0633 0.2759 0.3635 -0.4291 -1.9323 
129.951 0.285 -0.0351 -0.0634 0.2761 0.3717 -0.4276 -1.9329 
129.982 0.286 -0.0351 -0.0634 0.2763 0.3779 -0.4230 -1.9302 
130.018 0.285 -0.0349 -0.0632 0.2758 0.3693 -0.4315 -1.9319 
133.549 0.319 -0.0229 -0.0791 0.3084 0.2751 -0.4587 -1.8647 
133.582 0.320 -0.0229 -0.0798 0.3088 0.2682 -0.4483 -1.8672 
133.616 0.318 -0.0229 -0.0797 0.3070 0.2660 -0.4649 -1.8649 
133.648 0.319 -0.0231 -0.0801 0.3075 0.2637 -0.4550 -1.8688 
133.684 0.317 -0.0231 -0.0798 0.3061 0.2675 -0.4658 -1.8675 
133.715 0.316 -0.0230 -0.0793 0.3055 0.2658 -0.4694 -1.8718 
133.749 0.317 -0.0229 -0.0790 0.3061 0.2663 -0.4570 -1.8774 
136.481 0.306 -0.0362 -0.0711 0.2958 0.2275 -0.4502 -1.9372 
136.515 0.306 -0.0361 -0.0711 0.2959 0.2285 -0.4539 -1.9353 
136.549 0.306 -0.0359 -0.0710 0.2959 0.2347 -0.4609 -1.9361 
136.581 0.306 -0.0358 -0.0710 0.2957 0.2241 -0.4733 -1.9350 
136.617 0.307 -0.0357 -0.0713 0.2969 0.2208 -0.4624 -1.9342 
142.548 0.286 -0.0325 -0.0650 0.2770 0.3863 -0.4321 -1.9219 
142.582 0.286 -0.0322 -0.0649 0.2770 0.3918 -0.4268 -1.9214 
142.615 0.286 -0.0319 -0.0648 0.2770 0.3833 -0.4243 -1.9206 
142.647 0.286 -0.0315 -0.0647 0.2766 0.3940 -0.4273 -1.9196 
142.687 0.286 -0.0312 -0.0646 0.2767 0.3950 -0.4306 -1.9204 
147.546 0.286 -0.0344 -0.0628 0.2773 0.3393 -0.4685 -1.9412 
147.580 0.286 -0.0344 -0.0629 0.2768 0.3321 -0.4741 -1.9421 
147.619 0.287 -0.0347 -0.0632 0.2776 0.3440 -0.4603 -1.9417 
147.647 0.288 -0.0349 -0.0634 0.2785 0.3361 -0.4619 -1.9401 
147.680 0.287 -0.0349 -0.0634 0.2780 0.3375 -0.4651 -1.9429 
162.010 0.293 -0.0381 -0.0617 0.2837 0.3976 -0.4463 -1.9436 
162.046 0.291 -0.0384 -0.0618 0.2822 0.3928 -0.4578 -1.9418 
162.080 0.290 -0.0388 -0.0619 0.2809 0.3952 -0.4620 -1.9406 
162.114 0.291 -0.0396 -0.0623 0.2814 0.3908 -0.4571 -1.9419 
166.909 0.284 -0.0386 -0.0631 0.2738 0.4325 -0.4715 -1.9552 
166.945 0.284 -0.0388 -0.0634 0.2738 0.4250 -0.4747 -1.9586 
166.975 0.284 -0.0390 -0.0637 0.2741 0.4294 -0.4687 -1.9559 
167.011 0.283 -0.0390 -0.0637 0.2731 0.4209 -0.4807 -1.9516 
167.042 0.283 -0.0391 -0.0640 0.2732 0.4220 -0.4777 -1.9553 
174.808 0.272 -0.0441 -0.0615 0.2614 0.4264 -0.4609 -1.9158 
174.842 0.272 -0.0437 -0.0617 0.2615 0.4195 -0.4593 -1.9145 
174.874 0.272 -0.0434 -0.0618 0.2613 0.4254 -0.4626 -1.9164 
180.610 0.247 -0.0450 -0.0645 0.2346 0.5565 -0.4250 -1.8204 
180.640 0.247 -0.0449 -0.0644 0.2340 0.5483 -0.4277 -1.8195 
180.673 0.247 -0.0452 -0.0647 0.2344 0.5557 -0.4218 -1.8198 
180.706 0.247 -0.0450 -0.0646 0.2337 0.5507 -0.4288 -1.8243 
