hand to marker: 0.10
timestamp dist x y z rx ry rz
62.115 0.288 -0.0073 -0.0511 0.2829 -0.2793 -0.0015 1.1879 
62.146 0.288 -0.0074 -0.0511 0.2834 -0.2849 0.0042 1.1899 
62.181 0.290 -0.0079 -0.0519 0.2847 -0.2769 0.0044 1.1946 
62.213 0.291 -0.0088 -0.0534 0.2858 -0.2727 0.0173 1.2014 
67.045 0.291 -0.0336 -0.0902 0.2743 -0.2775 -0.0119 1.3512 
67.078 0.293 -0.0366 -0.0924 0.2759 -0.2605 -0.0176 1.3565 
70.845 0.299 -0.0282 -0.0745 0.2882 -0.2453 -0.0224 1.2639 
70.877 0.297 -0.0264 -0.0730 0.2869 -0.2567 -0.0255 1.2583 
70.912 0.296 -0.0249 -0.0722 0.2862 -0.2593 -0.0204 1.2566 
70.946 0.296 -0.0239 -0.0723 0.2861 -0.2588 -0.0132 1.2611 
74.311 0.311 -0.0248 -0.0816 0.2993 -0.2230 -0.0297 1.2996 
74.346 0.312 -0.0266 -0.0852 0.2988 -0.2348 -0.0315 1.3121 
74.379 0.312 -0.0280 -0.0882 0.2985 -0.2339 -0.0284 1.3238 
78.011 0.305 -0.0293 -0.1034 0.2857 -0.2870 -0.0006 1.3911 
78.044 0.307 -0.0293 -0.1090 0.2857 -0.3009 -0.0030 1.4177 
81.144 0.314 -0.0337 -0.0859 0.3002 -0.2549 -0.0326 1.2899 
81.177 0.314 -0.0341 -0.0880 0.3000 -0.2641 -0.0273 1.2952 
81.210 0.317 -0.0349 -0.0907 0.3017 -0.2540 -0.0187 1.3080 
81.243 0.320 -0.0357 -0.0935 0.3035 -0.2649 -0.0290 1.3151 
84.977 0.315 -0.0242 -0.0729 0.3055 -0.2592 -0.0142 1.2179 
85.010 0.315 -0.0240 -0.0725 0.3054 -0.2607 -0.0081 1.2143 
85.043 0.316 -0.0239 -0.0724 0.3062 -0.2522 -0.0175 1.2151 
88.446 0.296 -0.0382 -0.0707 0.2851 -0.2191 0.0440 1.2348 
88.476 0.298 -0.0377 -0.0720 0.2870 -0.2171 0.0477 1.2392 
88.511 0.300 -0.0372 -0.0732 0.2885 -0.2122 0.0495 1.2488 
92.243 0.305 -0.0327 -0.0622 0.2966 -0.1681 0.0293 1.2099 
92.277 0.306 -0.0328 -0.0640 0.2978 -0.1691 -0.0083 1.2205 
92.310 0.312 -0.0328 -0.0657 0.3030 -0.1272 -0.0822 1.2275 
92.343 0.314 -0.0323 -0.0669 0.3046 -0.1453 -0.0439 1.2366 
96.509 0.307 -0.0434 -0.0883 0.2905 -0.1862 -0.0136 1.2915 
96.541 0.308 -0.0411 -0.0874 0.2928 -0.1655 0.0082 1.2953 
96.573 0.311 -0.0389 -0.0868 0.2959 -0.1596 0.0044 1.2978 
100.141 0.311 -0.0419 -0.0848 0.2968 -0.1574 0.0977 1.3160 
100.173 0.312 -0.0406 -0.0823 0.2985 -0.1457 0.0879 1.3050 
100.207 0.311 -0.0388 -0.0798 0.2976 -0.1700 0.0867 1.2899 
100.241 0.310 -0.0373 -0.0775 0.2976 -0.1624 0.0883 1.2823 
100.275 0.309 -0.0361 -0.0754 0.2977 -0.1640 0.0866 1.2757 
104.005 0.340 -0.0471 -0.1168 0.3158 -0.1470 0.0729 1.4330 
165.228 0.315 -0.0227 -0.0861 0.3025 -0.3492 -0.1976 1.2713 
165.263 0.315 -0.0206 -0.0825 0.3029 -0.3400 -0.1918 1.2531 
165.295 0.314 -0.0181 -0.0789 0.3039 -0.3379 -0.1998 1.2365 
165.328 0.314 -0.0158 -0.0757 0.3047 -0.3367 -0.1908 1.2254 
171.727 0.315 -0.0245 -0.0951 0.2992 -0.2841 -0.1038 1.3276 
171.762 0.314 -0.0243 -0.0941 0.2991 -0.2789 -0.1069 1.3229 
171.794 0.314 -0.0239 -0.0928 0.2991 -0.2774 -0.1047 1.3200 
171.828 0.314 -0.0235 -0.0915 0.2995 -0.2796 -0.1026 1.3107 
171.860 0.314 -0.0229 -0.0901 0.3004 -0.2745 -0.0986 1.3085 
175.928 0.308 -0.0244 -0.0840 0.2952 -0.2712 -0.0618 1.2919 
175.960 0.308 -0.0246 -0.0853 0.2953 -0.2792 -0.0534 1.2980 
175.993 0.310 -0.0251 -0.0872 0.2963 -0.2673 -0.0491 1.3058 
176.026 0.310 -0.0255 -0.0886 0.2960 -0.2762 -0.0529 1.3096 
