hand to marker: 0.10
timestamp dist x y z rx ry rz
113.518 0.276 -0.0260 -0.0179 0.2746 -0.2871 -0.3198 1.1936 
113.553 0.276 -0.0257 -0.0178 0.2745 -0.2944 -0.3164 1.1936 
113.584 0.277 -0.0255 -0.0178 0.2751 -0.2836 -0.3159 1.1952 
113.617 0.277 -0.0253 -0.0176 0.2748 -0.2974 -0.3112 1.1909 
113.652 0.277 -0.0251 -0.0176 0.2750 -0.2888 -0.3161 1.1945 
123.783 0.284 -0.0311 -0.0195 0.2818 -0.3375 -0.3189 1.1823 
123.817 0.285 -0.0310 -0.0197 0.2823 -0.3418 -0.3057 1.1825 
123.849 0.284 -0.0306 -0.0197 0.2817 -0.3427 -0.3171 1.1792 
123.885 0.284 -0.0304 -0.0198 0.2819 -0.3392 -0.3080 1.1805 
132.616 0.277 -0.0133 -0.0237 0.2757 -0.3209 -0.3086 1.2475 
132.649 0.277 -0.0133 -0.0237 0.2758 -0.3182 -0.3091 1.2512 
132.681 0.277 -0.0133 -0.0236 0.2753 -0.3212 -0.3221 1.2494 
132.714 0.277 -0.0134 -0.0236 0.2752 -0.3145 -0.3280 1.2488 
132.747 0.276 -0.0136 -0.0235 0.2747 -0.3213 -0.3203 1.2479 
132.781 0.276 -0.0138 -0.0236 0.2745 -0.3349 -0.3051 1.2466 
140.515 0.268 -0.0146 -0.0300 0.2657 -0.3475 -0.2829 1.1648 
140.548 0.269 -0.0145 -0.0298 0.2666 -0.3267 -0.3025 1.1633 
140.579 0.268 -0.0144 -0.0296 0.2662 -0.3421 -0.2882 1.1650 
140.613 0.268 -0.0143 -0.0296 0.2664 -0.3447 -0.2764 1.1625 
148.312 0.294 -0.0234 -0.0412 0.2902 -0.3319 -0.2066 1.1696 
148.343 0.294 -0.0235 -0.0411 0.2900 -0.3394 -0.1977 1.1682 
148.378 0.294 -0.0236 -0.0409 0.2903 -0.3374 -0.2053 1.1698 
148.412 0.294 -0.0237 -0.0407 0.2904 -0.3357 -0.2030 1.1676 
156.313 0.286 -0.0110 -0.0377 0.2837 -0.3531 -0.2821 1.2051 
156.343 0.286 -0.0110 -0.0376 0.2831 -0.3615 -0.2892 1.2044 
