hand to marker: 0.10
timestamp dist x y z rx ry rz
83.468 0.423 0.0028 -0.0697 0.4172 -0.4270 -0.4186 1.6509 
83.504 0.422 0.0026 -0.0697 0.4164 -0.4287 -0.4230 1.6498 
83.537 0.422 0.0026 -0.0698 0.4157 -0.4331 -0.4149 1.6497 
83.571 0.420 0.0024 -0.0696 0.4143 -0.4260 -0.4299 1.6489 
108.365 0.398 -0.0103 -0.0513 0.3945 -0.5742 -0.3650 1.5274 
108.399 0.399 -0.0103 -0.0515 0.3954 -0.5638 -0.3794 1.5250 
108.432 0.400 -0.0102 -0.0517 0.3961 -0.5712 -0.3694 1.5264 
108.465 0.399 -0.0100 -0.0516 0.3956 -0.5716 -0.3703 1.5247 
108.500 0.398 -0.0100 -0.0517 0.3949 -0.5765 -0.3782 1.5235 
130.295 0.425 -0.0310 -0.0608 0.4190 -0.7618 -0.0357 1.4778 
130.328 0.427 -0.0309 -0.0610 0.4211 -0.7570 -0.0302 1.4811 
130.361 0.429 -0.0307 -0.0611 0.4234 -0.7515 -0.0284 1.4792 
130.394 0.427 -0.0306 -0.0607 0.4218 -0.7590 -0.0255 1.4753 
130.427 0.430 -0.0308 -0.0608 0.4244 -0.7477 -0.0278 1.4808 
130.461 0.431 -0.0309 -0.0610 0.4252 -0.7449 -0.0289 1.4797 
150.357 0.444 -0.0399 -0.0734 0.4363 -0.8035 -0.1150 1.4915 
150.393 0.443 -0.0405 -0.0731 0.4353 -0.8104 -0.1199 1.4872 
150.424 0.441 -0.0407 -0.0725 0.4331 -0.8108 -0.1028 1.4843 
168.187 0.462 -0.0432 -0.0667 0.4555 -0.7266 -0.0616 1.4899 
168.220 0.465 -0.0433 -0.0667 0.4577 -0.7180 -0.0551 1.4876 
168.253 0.466 -0.0435 -0.0667 0.4592 -0.7143 -0.0560 1.4950 
168.286 0.467 -0.0436 -0.0668 0.4600 -0.7116 -0.0523 1.4958 
168.322 0.467 -0.0435 -0.0670 0.4604 -0.7136 -0.0519 1.4917 
168.353 0.467 -0.0433 -0.0671 0.4602 -0.7115 -0.0494 1.4942 
194.151 0.452 -0.0304 -0.0526 0.4484 -0.6948 0.1095 1.4637 
194.182 0.451 -0.0299 -0.0523 0.4471 -0.7123 0.1002 1.4527 
194.216 0.447 -0.0289 -0.0518 0.4431 -0.7230 0.1089 1.4498 
194.249 0.447 -0.0280 -0.0516 0.4429 -0.7154 0.0995 1.4510 
194.281 0.446 -0.0272 -0.0514 0.4422 -0.7261 0.0902 1.4473 
215.745 0.451 -0.0271 -0.0438 0.4476 -0.6366 0.0226 1.4962 
215.778 0.452 -0.0267 -0.0437 0.4491 -0.6352 0.0163 1.4932 
215.816 0.452 -0.0261 -0.0438 0.4495 -0.6281 0.0147 1.4950 
215.846 0.451 -0.0255 -0.0435 0.4483 -0.6380 0.0155 1.4911 
215.879 0.449 -0.0250 -0.0434 0.4462 -0.6461 0.0138 1.4871 
215.913 0.452 -0.0249 -0.0438 0.4492 -0.6358 0.0214 1.4951 
236.808 0.430 -0.0273 -0.0373 0.4274 -0.7072 0.0613 1.4583 
236.842 0.432 -0.0273 -0.0375 0.4291 -0.7019 0.0551 1.4648 
236.877 0.432 -0.0273 -0.0376 0.4297 -0.6982 0.0498 1.4636 
236.907 0.432 -0.0270 -0.0374 0.4292 -0.7027 0.0469 1.4599 
236.941 0.433 -0.0268 -0.0374 0.4309 -0.6984 0.0499 1.4651 
253.837 0.463 -0.0001 -0.0468 0.4602 -0.6587 0.0482 1.5175 
253.872 0.461 0.0002 -0.0465 0.4591 -0.6509 0.0541 1.5173 
253.905 0.461 0.0005 -0.0464 0.4587 -0.6587 0.0464 1.5226 
253.937 0.462 0.0008 -0.0464 0.4599 -0.6568 0.0421 1.5176 
253.973 0.462 0.0012 -0.0459 0.4597 -0.6557 0.0446 1.5173 
254.004 0.463 0.0013 -0.0449 0.4607 -0.6459 0.0445 1.5136 
269.935 0.454 -0.0018 -0.0420 0.4519 -0.6346 -0.0813 1.4995 
269.970 0.453 -0.0015 -0.0417 0.4509 -0.6423 -0.0799 1.5028 
270.001 0.454 -0.0011 -0.0415 0.4526 -0.6338 -0.0780 1.5027 
270.035 0.454 -0.0005 -0.0411 0.4525 -0.6380 -0.0800 1.5013 
270.067 0.458 0.0000 -0.0410 0.4560 -0.6207 -0.0780 1.5136 
270.100 0.456 0.0006 -0.0403 0.4540 -0.6327 -0.0821 1.5006 
295.397 0.454 -0.0193 -0.0414 0.4518 -0.6976 0.1209 1.4370 
295.430 0.456 -0.0189 -0.0414 0.4539 -0.6814 0.1269 1.4387 
295.467 0.454 -0.0184 -0.0411 0.4516 -0.6924 0.1133 1.4339 
295.497 0.451 -0.0180 -0.0407 0.4483 -0.7023 0.1134 1.4239 
295.530 0.449 -0.0175 -0.0407 0.4471 -0.7004 0.1151 1.4260 
295.563 0.447 -0.0166 -0.0404 0.4446 -0.7141 0.1042 1.4173 
311.061 0.451 -0.0132 -0.0393 0.4490 -0.7171 0.1095 1.4548 
311.094 0.450 -0.0126 -0.0390 0.4484 -0.7250 0.1027 1.4514 
311.129 0.450 -0.0123 -0.0385 0.4486 -0.7144 0.0984 1.4523 
311.161 0.452 -0.0125 -0.0378 0.4504 -0.7080 0.0935 1.4544 
311.194 0.448 -0.0125 -0.0365 0.4466 -0.7208 0.1019 1.4450 
325.327 0.399 -0.0167 -0.0329 0.3973 -0.7975 0.0640 1.3749 
325.359 0.401 -0.0180 -0.0336 0.3987 -0.7901 0.0915 1.3790 
325.392 0.402 -0.0189 -0.0339 0.3999 -0.7897 0.0902 1.3756 
325.425 0.400 -0.0186 -0.0338 0.3976 -0.7914 0.0907 1.3777 
325.460 0.401 -0.0180 -0.0340 0.3994 -0.7927 0.0693 1.3738 
325.491 0.400 -0.0169 -0.0338 0.3982 -0.7941 0.0482 1.3749 
